127.0.0.1 - - [20/Jan/2019:11:31:06 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2019:11:31:09 +0900] "GET /myHome/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [20/Jan/2019:11:31:20 +0900] "GET /myHome/student.jsp HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [20/Jan/2019:11:37:56 +0900] "GET /myHome/student.jsp HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [20/Jan/2019:13:45:14 +0900] "POST /myHome/insert.jsp HTTP/1.1" 500 4563
0:0:0:0:0:0:0:1 - - [20/Jan/2019:13:46:15 +0900] "GET /myHome/student.jsp HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [20/Jan/2019:13:46:18 +0900] "POST /myHome/insert.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [20/Jan/2019:13:46:26 +0900] "GET /myHome/list.jsp HTTP/1.1" 404 1093
192.168.10.193 - - [20/Jan/2019:14:23:28 +0900] "GET /myHome/list.jsp HTTP/1.1" 200 570
192.168.10.193 - - [20/Jan/2019:14:23:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
192.168.10.193 - - [20/Jan/2019:14:23:44 +0900] "GET /myHome/student.jsp HTTP/1.1" 200 580
192.168.10.193 - - [20/Jan/2019:14:23:46 +0900] "POST /myHome/insert.jsp HTTP/1.1" 200 444
192.168.10.193 - - [20/Jan/2019:14:23:48 +0900] "GET /myHome/list.jsp HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [20/Jan/2019:14:35:14 +0900] "GET /myHome/student.jsp HTTP/1.1" 200 914
