127.0.0.1 - - [10/Feb/2019:10:37:36 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:37:36 +0900] "GET /myHome/board/list.jsp HTTP/1.1" 500 2966
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:39:20 +0900] "GET /myHome/board/list.jsp HTTP/1.1" 500 5876
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:43:07 +0900] "GET /myHome/board/list.jsp HTTP/1.1" 200 2286
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:43:07 +0900] "GET /myHome/board/style.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:43:07 +0900] "GET /myHome/img/no1.gif HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:43:07 +0900] "GET /myHome/img/no2.gif HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:43:07 +0900] "GET /myHome/style.css HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:44:24 +0900] "GET /myHome/board/writeForm.jsp HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:44:24 +0900] "GET /myHome/board/style.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:44:49 +0900] "GET /myHome/board/writeForm.jsp HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:44:49 +0900] "GET /myHome/board/style.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:44:49 +0900] "GET /myHome/img/no1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:44:49 +0900] "GET /myHome/img/no2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:44:49 +0900] "GET /myHome/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/board/writeForm.jsp HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/board/style.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/img/no1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/img/no2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/board/writeForm.jsp HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/board/style.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/img/no1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/img/no2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2019:10:46:01 +0900] "GET /myHome/style.css HTTP/1.1" 304 -
